row_number,repeat_buying_signal,category_mentioned,barrier_to_new_category,reason_type,info_needed,user_segment,duplicate_flag,confidence
891,no,electronics(earbuds),none,trust,brand-platform accountability,quality_focused,yes,high
895,no,none,none,convenience,none,unclear,no,high
901,no,dairy,none,convenience,none,quality_focused,no,high
910,no,none,none,trust,none,one_time_complainer,no,med
915,no,personal care,none,trust,promo fulfillment guarantee,one_time_complainer,no,high
918,no,none,none,price,none,price_sensitive,no,med
923,no,none,no new-customer offer,price,new-user incentive,light_new_user,no,med
924,no,dairy,none,trust,none,quality_focused,no,high
925,no,none,supplier changed quality dropped,trust,none,heavy_user,no,high
930,no,none,none,price,none,price_sensitive,no,med
936,no,none,no order-mod window,trust,order edit/cancel window,one_time_complainer,no,med
937,no,pet supplies,specific variant unavailable,no_discovery,maintain preferred variant,heavy_user,yes,high
938,no,none,none,price,none,price_sensitive,no,med
943,no,vegetables,none,trust,none,quality_focused,yes,high
944,no,none,none,trust,coupon usability,one_time_complainer,no,med
945,no,none,promo reneged at delivery,trust,honor displayed promos,one_time_complainer,no,high
947,no,none,none,price,none,price_sensitive,no,med
951,no,none,unwanted substitution,trust,substitution consent,one_time_complainer,no,high
972,yes,none,none,convenience,none,heavy_user,no,med
974,no,fruits,none,price,none,price_sensitive,no,med
980,yes,none,none,trust,none,heavy_user,yes,high
990,no,toys/collectibles,regional stock unavailable,no_discovery,regional stock visibility,unclear,no,high
992,no,none,none,price,none,price_sensitive,no,high
993,no,none,none,trust,none,one_time_complainer,yes,high
1007,no,none,none,convenience,none,unclear,no,med
1010,no,none,none,trust,faster replacement process,one_time_complainer,no,high
1013,no,none,none,price,MRP compliance,price_sensitive,no,high
1015,no,none,none,trust,none,one_time_complainer,no,high
1032,no,none,none,trust,none,one_time_complainer,no,high
1039,no,none,none,convenience,none,unclear,no,med
1044,no,groceries(misri),limited SKU variety,no_discovery,wider SKU range,unclear,no,high
1047,no,none,broken search,no_discovery,working search function,unclear,no,med
1051,no,none,none,trust,none,unclear,no,med
1052,no,none,none,price,none,price_sensitive,no,med
1055,no,electronics,none,trust,none,quality_focused,no,high
1056,no,none,none,trust,none,unclear,no,med
1068,no,household essentials(soap),none,trust,none,one_time_complainer,no,high
1078,yes,groceries/household,none,habit,none,heavy_user,no,high
1082,no,household(umbrella),none,trust,none,unclear,no,med
1083,no,none,none,trust,none,one_time_complainer,no,high
1084,no,none,none,trust,none,one_time_complainer,no,high
1087,no,groceries(tea),stock vanishing at checkout,other,none,unclear,yes,high
1088,no,none,stock unavailable,other,none,unclear,no,med
1103,no,none,none,trust,none,unclear,no,med
1112,no,none,none,price,none,price_sensitive,no,med
1113,no,none,tech difficult for seniors,other,simplified UI for elderly,senior_citizen,no,high
1115,no,none,none,trust,none,one_time_complainer,no,high
1117,no,none,none,trust,none,one_time_complainer,no,high
1118,no,none,none,trust,none,one_time_complainer,no,high
1126,no,none,none,trust,none,one_time_complainer,no,high
1130,no,none,none,price,none,price_sensitive,yes,high
1132,no,ice cream,none,trust,none,one_time_complainer,yes,high
1134,no,fruits/vegetables,none,trust,quality maintenance,quality_focused,no,med
1146,no,cooking ingredients,none,trust,none,one_time_complainer,yes,high
1150,no,none,none,trust,none,one_time_complainer,yes,high
1155,no,groceries,none,trust,none,unclear,no,med
1157,no,none,none,price,none,price_sensitive,no,med
1170,no,none,none,trust,none,one_time_complainer,no,high
1171,no,fruits,none,trust,none,quality_focused,no,high
1173,no,none,misleading order flow,trust,clear cart/order flow,unclear,no,med
1176,yes,none,none,habit,none,heavy_user,yes,high
